chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1742633351,2025-03-22T08:49:11Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742633365,2025-03-22T08:49:25Z,HG8PXL-10,HG7PDK-2?,5(2/2),0,),HG0PLA,NA,47.316667,21.118833,,,,144.950,,,"DIXPRS - Bela, HA5DI",,, Linu(X)net 1.38 (TNC2) 144.950/1k2
0,1742633376,2025-03-22T08:49:36Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742633383,2025-03-22T08:49:43Z,HG4HNA-1,HG7PDK-2,5(2/2),0,@,HG4HNA-1,/#,47.258500,18.596833,,,,,,,SQ3PLX http://microsat.com.pl/,,," Meleg-hegy (ASL: 352m) - APRS IGate & Digi - HAMNET: 2392MHz,5MHz BW,Ver."
0,1742633435,2025-03-22T08:50:35Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742633438,2025-03-22T08:50:38Z,HG4HNA-1,HG7PDK-2?,8(3/2),0,T,HG4HNA-1,/a,,,,,,,,,SQ3PLX http://microsat.com.pl/,,"Seq=168, A1=188, A2=31, A3=4, A4=93, A5=0, D1=0, D2=0, D3=0, D4=0, D5=0, D6=0, D7=0, D8=0",
0,1742633441,2025-03-22T08:50:41Z,HA7HAT,HG7PDK-2?,6(3/2),0,=,HA7HAT,/-,47.625167,19.041333,,,,,,,KA2DDO Yet another APRS system,,,",/W1Testing YAAC on Linux Mint"
0,1742633446,2025-03-22T08:50:46Z,HG8PXL-10,HG7PDK-2?,5(2/2),0,),HG8RUG,/r,46.744500,21.383667,,,,438.475,,,"DIXPRS - Bela, HA5DI",,,Hytera RD625 Repeater ID:216811 RX:438.4750MHz TX:430.8750MHz CC9 Sarkad
0,1742633450,2025-03-22T08:50:50Z,HG8PXL-10,HG7PDK-2?,5(2/2),0,),YO5X,/r,47.058833,21.969167,,,,438.325,,,"DIXPRS - Bela, HA5DI",,,MMDV Repeater 438.325MHz CC8 Oradea
0,1742633457,2025-03-22T08:50:57Z,HG8PXL-10,HG7PDK-2?,5(2/2),0,),HG8RUH,/r,46.706167,20.140667,,,,438.250,,,"DIXPRS - Bela, HA5DI",,,MMDVM Repeater TX:438.250MHz RX:430.650MHz CC9 Csongrad
0,1742633461,2025-03-22T08:51:01Z,HG8PXL-10,HG7PDK-2?,5(2/2),0,),HA8LLH-L,/m,46.723667,21.390500,,,,145.450,,,"DIXPRS - Bela, HA5DI",,,EchoLink Repeater 145.450MHz Sarkad
0,1742633472,2025-03-22T08:51:12Z,HG8PXL-10,HG7PDK-2?,5(2/2),0,),BORDANY,/;,46.322167,19.923000,,,,,,,"DIXPRS - Bela, HA5DI",,, Bordanyi Radios Talalkozo 2025 - Augusztus 1.-Pentek 2.-szombat Szervezo: HA8DU Peter 30/621-6378
0,1742633474,2025-03-22T08:51:14Z,HG8PXL-10,HG7PDK-2?,5(2/2),0,),Csongrd,/;,46.715167,20.186167,,,,,,,"DIXPRS - Bela, HA5DI",,, IX. Csongradi HAM Borze Augusztus 25-31 Info:06-30/258-4819 HG8LXL Laci http://hg8lxl.ham.hu/Talalkozo/koros-torok-kemping.htm
0,1742633477,2025-03-22T08:51:17Z,OM0ODX,HG7PDK-2,5(3/2),0,@,OM0ODX,I#,48.041833,18.416833,,,,438.100,,,SQ3PLX http://microsat.com.pl/,,,DMR HotSpot 438.100MHz - APRS Digipeater/iGate
0,1742633495,2025-03-22T08:51:35Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742633500,2025-03-22T08:51:40Z,HA7HAT,HG7PDK-2?,6(2/2),0,=,HA7HAT,/-,47.625167,19.041333,,,,,,,KA2DDO Yet another APRS system,,,",/W1Testing YAAC on Linux Mint"
0,1742633529,2025-03-22T08:52:09Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742633543,2025-03-22T08:52:23Z,HG5PBP-1,HG5PBP-1,6(2/2),0,@,HG5PBP-1,/#,47.493833,18.987500,,,,,,,SQ3PLX http://microsat.com.pl/,,," Budapest (ASL: 442m) - APRS IGate & Digi - HAMNET: 2362MHz,5MHz BW,MIMO"
0,1742633544,2025-03-22T08:52:24Z,HG5PBP-1,HG7PDK-2,5(2/2),0,@,HG5PBP-1,/#,47.493833,18.987500,,,,,,,SQ3PLX http://microsat.com.pl/,,," Budapest (ASL: 442m) - APRS IGate & Digi - HAMNET: 2362MHz,5MHz BW,MIMO"
0,1742633553,2025-03-22T08:52:33Z,HG2PTH-2,HG7PDK-2,5(2/2),0,@,HG2PTH-2,2#,46.920667,17.881000,,,,,,,SQ3PLX http://microsat.com.pl/,,," TIHANY (ASL: 205m) - APRS IGate & Digi - HAMNET: 2362MHz,5MHz BW,MIMO"
0,1742633556,2025-03-22T08:52:36Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742633595,2025-03-22T08:53:15Z,HG8PCS-11,HG7PDK-2?,6(3/2),0,>,HG8PCS-11,/O,,,,,,,,,"DIXPRS - Bela, HA5DI",,,CPU load: 0.00/0.00/0.00 @ 2025-03-22 09:45 CET
0,1742633612,2025-03-22T08:53:32Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
0,1742633616,2025-03-22T08:53:36Z,OM0ODX,HG7PDK-2?,5(2/2),0,},OM0ODX,/ ,,,,,,,,,SQ3PLX http://microsat.com.pl/,,,
